Reviews,Ratings,Food,Service,Ambience,Dates
Awesome dining experience. Will definitely go back,5,5,5,5,today
Great food. wonderful selection. amazing desserts. outstanding service. can’t wait to go back!,5,5,5,5,2 days ago
Food was fantastic! Waitress was not great. Also to beg to get drinks. Refills were even harder to get. even just water.,3,5,2,4,2 days ago
Way overpriced!! We got a tiny table that you could barely fit 2 plates on.,1,1,1,1,2 days ago
Checked into reservation and sat in line for 40 minutes before leaving.,2,2,1,4,2 days ago
For the value of the money. not worth it. Food quality has gone downhill. Cold food being served.What's the rude workers,2,3,2,2,2 days ago
Service was fantastic. and Mark took great care of us.  Food choices were broad and most were okay. The crab was mostly over-cooked. which made the meat difficult to separate from the shell.  While still the best buffet in Vegas. the cost has continued to rise to the point where only the biggest eaters will get their money’s worth.,3,3,5,4,2 days ago
Very expensive. Lots of selection. Slow and inattentive service. Will not return.,3,4,2,3,3 days ago
Food quality great. food selection ok but way too overpriced for the variety of food. We paid over 100 dollars per person and really. not worth the price. Also. they time you when you get there and you literally have 90 minutes to sit down. eat and go. Sorry. but not worth the price,3,4,4,4,3 days ago
It was our first time there. Organized seating for customers. Too much food! I love the octopus. My sister loves the ceviches. The cajun seafood was a bit spicy for me but it was still good. The asian barbecue was really good. We were happy to see lechon on the buffet.,5,5,5,5,3 days ago
Excellent food. Worth the price. Great variety of different types of food.,5,5,5,5,3 days ago
Average taste. Big range of food. The deserts must be little more than this. Cheesecake Factory has way better desert. Cream brûlée was fantastic. Prime rib was gorgeous but they don’t add salt. It will be great if they had maldon. 8/10,4,4,5,4,3 days ago
Imperdible. para mi el mejor Buffet de Vegas!!!! El precio de 95 Dls se desquita perfectamente con el área de mariscos. si no comes mariscos no creo que desquites el costo.,5,5,4,4,3 days ago
Good food and great variety but extremely overpriced. One and done restaurant.,4,4,2,2,3 days ago
It was our first time to dine at Bacchanal Buffet at Caesar’s to celebrate my son’s birthday. At check in the lady checking us in for our times reservations start lecturing me that I should have included our two babies in our reservations  and she makes feel unwelcomed until one of the lady interfere because she noticed I was getting frustrated with her and start taking over and helped us. I just felt it’s not a very good hospitality service.  But the service inside and the food was very satisfactory overall.,4,4,5,4,3 days ago
Been coming here for years.  Usually it’s great experience but this last rodeo left me saying it’s just OK.  We usually go for the crawfish but this time it just wasn’t good. no attention to these anymore seems like.  But the thing that really disappointed me was the cold Mexican pozole soup.  It was so cold I almost spit it out.  Don’t get me wrong this buffet is still great and I we’ll be back in the future.  Hopefully it was just a bad day.  Desert never disappoints.,3,3,2,3,4 days ago
The food quality. wasn’t. has good has other times we been there the food was cold and the quality has gone down. I had to ask for my steam crap legs because they were cold. The brisket wasn’t has tender. The pice has gone up and quality down. I was looking forward to bone marrow and there wasn’t any to my disappointment. I believe the food should be good early in the day. just like the evening because we still paid $180 dollars.,2,2,4,3,4 days ago
Food and service when were seated was excellent. I don’t understand why we had to wait another 10-15 min to get ushered to our table even with a reservation. I understand the maybe 5 min wait. but beyond that is ridiculous. The price for alcoholic beverage is outrageous. So will we go back? Maybe - for the food.,4,4,4,4,4 days ago
I made a reservation and am a Diamond member. They made me go to a diamond line instead of the reservation line and that ended up making me wait 45 minutes instead of being seated. There is no diamond discount and I could care less anorak the rewards from $200. They were so rude when I asked why I can’t just self pay and acted like it was impossible. Then all of the 7 star members kept getting pulled and the regular line kept getting pulled and they would take one diamond like everything 7-8 parties. The food was good but I’m sure I can find comparable food at this price point where I would be treated better. 0/10 would not recommend. Camilla the hostess was awful.,1,4,1,2,4 days ago
I thought for the price.  o do t know if 90 minutes  was enough time to truly enjoy everything. Maybe you should consider changing it to 2 hours instead. Just my 2 cents.  Thank you.,5,5,5,5,4 days ago
Thanks for a great experience.  Food was outstanding.,5,5,5,5,4 days ago
Food taste was not worth the price. I would not go back,1,1,2,2,5 days ago
I read so many reviews that said Bacchanal was THE place to go.  It is absolutely not.  The food was incredibly hit or miss. and the misses far outweighed the hits.  The lumpia. pork skewers. and desserts were great.  The dumplings. hot crab. cold seafood. brisket. and just about everything else we tried was fine - but not worth $100 a person.  I couldn’t eat enough to make it worth that cost. and honestly. I didn’t want to.  The service was great.  If this place is comped or if you get a discount. totally worth it.  In any other situation. avoid at all costs.  This place is highway robbery.  We were wholly bamboozled.  Don’t make the same mistake.,2,1,3,2,5 days ago
It used to be great buffet. quality of food are down. Some dishes weren’t edible at all. The dessert section is still wonderful.,3,3,2,2,5 days ago
Recommended by a frequent visitor to LV. Now I recommend it to all coming in. It was 185.00 for 2 people. Don’t get sticker shock. it was well worth it. Planned accordingly though. lite snack for breakfast then hit it at 1-2. Hope y’all have a great experience like we did. 10/10. will return.,5,5,5,5,5 days ago
The food was not hot. Service: understaffed. Good server. but very little they could do to make up for the expensive cool to room temperature food.,1,2,2,2,5 days ago
