Reviews,Ratings,Food,Service,Ambience,Dates
12/10 experience! Loved every second. Perfect dinner! 💕🙌🏻,5,5,5,5,1 day ago
Beautiful! Food was amazing and the service was top-notch. We are happy to make Golden Steer Steakhouse a dining tradition for our yearly NFR visit. This years’ dining experience will be memorable because I got engaged.,5,5,5,5,1 day ago
Excellent food but Great Service! It lived up to expectations.,5,5,5,5,1 day ago
Great “Old Vegas” family-owned  restaurant. where many celebrities(The Rat Pack. John Wayne. Mario Andretti) frequented. The food is scrumptious. especially their steaks. and the staff is wonderful. You can tell they enjoy working there. It is pricey but a great choice for a special occasion.,5,5,5,5,1 day ago
Amazing 33rd birthday experience! Food was phenomenal!,5,5,5,5,1 day ago
Food was ok this time aroundbit have had better in the past. The cream spinach was on point as always but my steak was tough to cut and chew. We usually come here for the NFR every year. We had a party of 6. the service was not what it had been in the past. We ordered cheesecake to go and paid $12 dollars for the smallest piece of cheesecake I’ve ever seen and highly recommend not getting the cheesecake. My wife and I got 2 bites a piece of a very small cheesecake.,3,3,3,3,2 days ago
Service was great and food was delicious . Steak was cooked to perfection and the shrimp appetizer was fantastic.,5,5,5,5,2 days ago
Food was amazing and the Service was great. We love this place!,5,5,5,5,3 days ago
I eat here every time I go to Vegas.  It is a very hard reservation to get.  Food is always amazing. I have never had a bad meal.  We did feel our waiter this time was below the standards we have always seen there.  We felt rushed and when we wanted to pay the bill. we wanted to split it 3 ways between the couples.  I asked for him to put the bottle of wine on my ticket.  He said he could not do that.  Regardless. this is the first time I have ever had any issue.,5,5,3,5,3 days ago
Best Steakhouse in Las Vegas that brings old school service. atmosphere and great food.,5,5,5,5,3 days ago
The ambiance was incredible! We specifically loved the attentiveness of the staff and our servers. The manage came by and checked in on us adding to the experience. We loved the overall experience and how we were treated. The noise level was really low. very roomy and just an amazing experience. The food was incredible and prepared to our preference. The drink menu was very nice. we tried a variety if drinks and would recommend trying different ones to see which one you like best. Parking is ok but we also went later in the evening making super easy to find parking.,5,5,5,5,4 days ago
Always wonderful!!  Service is great! The drinks are awesome and the food is the best!,5,5,5,5,4 days ago
Great experience! The food was amazing and the service was impeccable. Will definitely be returning.,5,5,5,5,4 days ago
Awesome experience.the steaks were amazing!!!!!!!,5,5,5,5,4 days ago
